expert_id,exper_name,rating,count
516,marc-emmanuel vives,60,1,
517,marco ravagli,60,1,
518,mark konyn,60,17,
527,mayur matani,60,7,
530,medha samant,60,1,
540,mickey doshi,60,1,
547,miswin mahesh,60,1,
552,mohammed kazmi,60,2,
555,mohit kumar,60,1,
562,mritunjay kapur,60,1,
565,mukesh agarwal,60,1,
566,mukesh butani,60,1,
577,navin agarwal,60,2,
578,navin sahadeo,60,2,
593,nick timberlake,60,1,
595,nigel chalk,60,1,
597,nikhil kamath,60,1,
598,nikhil rungta,60,2,
604,nimish joshi,60,1,
608,nirav shah,60,2,
615,nishant vass,60,11,
616,nitin agrawal,60,3,
619,nitin kumar,60,12,
621,nitin mohta,60,2,
624,nitin tiwari,60,7,
631,pablo goldberg,60,2,
637,parag jariwala,60,17,
643,patrick perretgreen,60,1,
667,prakash goel,60,1,
668,prakash joshi,60,1,
669,pramod amthe,60,2,
671,prasad baji,60,18,
673,prashant kothari,60,1,
674,prashant nair,60,1,
677,praveen chakravarthy,60,1,
683,priti gupta,60,1,
702,rahul kundani,60,1,
703,rahul modi,60,7,
707,raj bhat,60,1,
715,rajesh gupta,60,2,
717,rajesh kothari,60,4,
724,rakesh patel,60,3,
725,rakesh tarway,60,6,
729,raman aylur subramanian,60,1,
733,ramki ramkrishnan,60,2,
737,rashique rahman,60,1,
739,ravi iyer,60,1,
743,ravikant bhat,60,3,
744,ray farris,60,6,
759,ritu arora,60,10,
770,robin roy,60,1,
782,rukhshad shroff,60,1,
784,russ koesterich,60,1,
790,s ranganathan,60,3,
791,s sriniwasan,60,1,
801,saion mukherjee,60,3,
803,sakhti siva,60,1,
807,samar sarda,60,1,
808,sameer baisiwala,60,1,
813,sampath reddy,60,3,
815,sandeep j shah,60,1,
817,sandeep muthangi,60,6,
822,sandeep singal,60,3,
